Empresa,Relato
Hurb - Hotel Urbano,"Comprei o pacote de Viagem - Punta Cana - All Inclusive - 2023 e 2024 (nº de pedido 8967132) com o hotel urbano - hurb pelo site oficial, no dia 02/04/2022, pago com cartão de crédito e parcelado em 6x. O pacote era pra mim e minha família. As datas eram flexíveis, escolhi 3 datas e perto da viagem, mandariam as sugestões de datas e voos. Porém, por conta de todos os problemas ocorridos com a empresa, e por, segundo o hurb não haver disponibilidade de data e hospedagem, decidi não arriscar mais e cancelar esse pacote e ter meu estorno feito em conta corrente, e por conta de descumprimento de data (já que havia escolhido viajar no primeiro semestre de 2023) eu serei reembolsada em 100% do valor, sem nenhum tipo de multa (isso está no contrato e condições de cancelamento do site) Eles me deram um prazo de 60 dias úteis para receber esse estorno em meu cartão de crédito. O cancelamento foi solicitado dia 24/04/2023 e a data limite de estorno já se deu. Até a presente data, NÃO recebi meu estorno, e toda semana eu vou ao chat do site do hurb e recebo sempre a mesma resposta de que meu caso está sendo tratado como prioridade e que o setor responsável vai realizar o estorno, porém o mesmo nunca acontece e nunca me dão uma data específica, sempre tudo muito vago. Quero meu estorno urgente! Vocês estão descumprindo o acordo comercial. QUERO MEU REEMBOLSO!!!!!!! PRECISO DESSE DINHEIRO!!"
Ourocard,"Em 17/10/2024, fui abrir conta jurídica no banco Sicoob, o gerente me informou sobre negativação interna do banco Central (cartão de crédito visa) do banco do brasil, na qual constava no banco central como prejuízo ao referido banco. Fiz contato com a seguradora da atual bandeira do catão(visa), assinei termo de acordo e paguei a primeira parcela em 18/10/2024 do referido acordo. Problema que ainda consta no registrato(banco central) tal apontamento de prejuízo para o banco do brasil. Segue a reclamação com fotos do acordo e do apontamento do banco central. Preciso abrir conta salário e não consigo devido a esse apontamento. Solicito com urgência desde já a remoção do meu nome do registrato com prejuízo ao banco do brasil, dos cartões ourocard visa universitário."
Smiles,"Bom dia, gostaria de saber porque os valores das passagens, temgrande diferença de preos na hora da compra se optarmos por compra trecho direto ou 2 trechos, como no exemplo anexo, sou de Presidente Prudente, e estamos cotando uma passagem de ida e volta para natal para os meses de fevereiro ou março, e pesquisando as opções dos voos identificamos esta diferença na cotação PPB A NAT, NAT a PPB e os outra opções PPB a CGH CGH a NAT, NAT a CGH CGH a PPB, (anexos), tamanha diferença e também em relação aos valores em quantidade de milhas, cotação para 5, 6 meses e um valor absurdo de milhas, venho recebido constamente e-mail de ofertas de passagens a 5.500, 6.000 e na hora de pesquisar me defronto com esses absurdos, como pode isso, , gostaria de saber qual a melhor maneira para resolver essa questão , pois me falam, melhor dia para comprar passagens : terça após as 12 hrs até quarta as 23.59 hrs , e nada, acesso de sabado, domingo , madrugada de domingo para segunda, onde uspostamente ninguem acessa, e nada , sempre o mesmo valor e olha que a distancia para a data da viagem ainda está longe hein, portanto no aguardo de sua resposta. obrigado ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- vocês mencionaram que montam tarifas padrão para melhor atender seus clientes, porém não é isso que transparece, pois montando nosso itinerário tem condições diferenciadas das ofertadas, além do que comentam sobre demanda , gostaria de entender um pouco desta condição , pois com quase 6 meses de antecedência encontra se com essas condições em milhas, em quantidade superiores até mesmo as viagens internacionais, como pode isso acontecer tamanho valor, inclusive porque existe valores tão diferentes de milhas para passagens da capitais do nordeste, comprei para Salvador no mesmo mês de março/25 a quantia de 21000 aproximadamente, e agora estou procurando vôos para Natal, João Pessoa e recife e encontro valores exorbitantes e no mesmo período início de março ou início de abril valor bem aquém dos trechos acima que citei. ------------------------------------------------------------------------------------------------------------------------------------------------------- Vocês deram por encerrada minha manifestação sem ao menos ter respondido os meus questionamentos, pois gostaria de entender porque tamanha discrepancia dos valores."
Latam Airlines (Tam),"Moro em Divinópolis e meu vôo e de minha família estava marcado para o dia 12/10/24 às 6:00h, no aeroporto de Confins-BH. Ao chegar no aeroporto, vi que nosso vôo havia sido cancelado por mau tempo em São Paulo e remarcado para às 20:05h do mesmo dia para o aeroporto de Guarulhos-SP. A empresa arcou com o transfer de ida e de volta, hotel e almoço até o horário do vôo, porém nos alocou em um hotel em Betim-MG (Go Inn Betim) que não havia quarto para família. Ficamos em 2 quartos. Meu marido com meu filho e eu com minha filha. Após a chegada no aeroporto de Confins, embarcamos no vôo das 20:05h com conexão em Guarulhos para embarcarmos às 22:20h para Navegantes-SC. Chegando em Guarulhos, logo no desembarque, um funcionário da Latam nos disse que nosso vôo havia sido remarcado para o dia 13/10 às 08:20h. Fomos realocados em um hotel em Guarulhos (Slaviero Hotéis) sendo meu marido e meu filho em um quarto e eu e minha filha em outro. Jantamos por volta das 00:00h e fomos dormir às 01:00h. Acordamos às 4:30h pois, ao invés do nosso vôo sair de Guarulhos, onde estávamos, a empresa nos mandou para um vôo, às 8:20h, no aeroporto de Congonhas direto para Navegantes. Chegamos em Navegantes e pegamos um Uber para o hotel em Camboriú (Camboriú Praia Hotel). Chegamos ao hotel no dia 13/10, às 11:00h, todos muito cansados, pois desde o dia 12/10 às 1:30h não dormíamos direito. Chegamos e fomos descansar. Por causa de todo o transtorno, perdemos 2 dias de passeio e diárias do hotel que já haviam sido pagas."
Banco do Brasil,"Assunto: Solicitação de Contratos e Esclarecimento sobre Descontos de Empréstimos Prezados, Eu, Jaime F. Batalha, venho por meio desta solicitar a esta empresa a disponibilização de todos os contratos referentes aos empréstimos que realizei junto a vocês. Além disso, solicito que me informem as taxas de juros aplicadas a cada um desses empréstimos. Encontro-me em uma situação onde não estou recebendo meu salário, pois o banco está retendo todo o valor, o que me preocupa. Preciso urgentemente de esclarecimentos e revisão dos valores descontados. Aguardo uma resposta com as devidas informações para que eu possa verificar o que está ocorrendo. Atenciosamente, Jaime F. Batalha"
Smiles,"Recentemente comprei via Smiles uma passagem da Gol para o trecho Belo Horizonte x Rio de Janeiro localizador: FYITBS. Devido a situações pessoais minha programação foi alterada e precisei alterar esse voo para outra data. Então, entrei em contato com a Smiles via fone e via app e tentei a alteração porém me deparei com valores muito exagerados. Recentemente tive um voo cancelado pela empresa aérea e fui reacomodado para o dia seguinte e não foi oferta uma multa para mim, Porque quando é para o consumidor a atuação não é da mesma maneira?"
Banco do Brasil,"Consta em meu cpf o registro de uma divida em aberto no periodo de 09/2019 a 05/2021, não tenho dividas em aberto, em atraso ou em dia com essa instituição."
Crediativos,essa divida ja tem mais de 15 anos meu nome nao pode estar negativado.
Google,"Perdi o acesso porque perdi o celular (smartphone). Foi o único aparelho que tinha acesso a conta, e, o número cadastrado para recuperação eu tenho, porém não me da opção de recuperação, pois diz que tenho que entrar com dispositivo que já foi acessado antes e como mencionei não tenho o celular."
Uber,"No dia 18 de Outubro de 2024, as 4:29 Pm, solicitei um serviço para levar uma caixa de papelão da Al Araguaia, 3207, Tamboré, Barueri, SP, para a Rua Gustav Willi Borques, 830, Parque Industrial, São Paulo, Sp. O motoqueiro retirou a mercadoria e seguiu ao local, tendo algumas dificuldades na entrega, mais encerrando a corrida. Na segunda-feira, ao verificar a não entrada do produto na transportadora, consegui pelo app, conversar com o prestador, que finalizou o serviço. O motoqueiro foi muito prestativo e dele não tenho reclamações. No entanto, o APP e suporte, dão a entender situações incorretas, como se eu tivesse esquecido algo no carro, e adicionaram um valor indevido de R$ 50,00 pela devolução do item. O que não ocorreu. Fazendo o contato com o suporte, que deve ser um robo, o mesmo manda mensagens padrões com sugestões de pin e etc.. Sem solução;"
TicketMaster Brasil,"Minha reclamação é de uma situação que considero bastante injusta e que ocorreu no show do cantor Bruno Mars, realizado em 16/10/2024, no Rio de Janeiro. Minha mãe, que tem direito à meia-entrada para idosos, comprou um ingresso nesse formato. No entanto, no dia do evento, ela se sentiu mal e não pôde comparecer, então me transferiu o ingresso. Ao tentar utilizar o ingresso, fui informada de que, por se tratar de uma meia-entrada para idoso, eu deveria me dirigir à bilheteria para fazer um complemento de valor. Ao chegar lá, prontamente apresentei minha documentação de estudante, que também me dá direito ao benefício da meia-entrada. Para minha surpresa, não houve sequer a verificação dos meus documentos. Informaram que eu só poderia acessar o evento mediante o pagamento de R$325,00 referentes à complementação para o valor integral do ingresso. Essa prática me pareceu abusiva, especialmente considerando que várias outras pessoas estavam na mesma situação. Aparentemente, a empresa emitiu um número elevado de ingressos de meia-entrada para idosos, sabendo que muitos seriam transferidos e que os destinatários seriam obrigados a pagar pela complementação. Ressalto que, como estudante, também tenho direito à meia-entrada, garantido por lei, e acredito que a empresa deveria ter aceitado minha comprovação ou realizado a troca do tipo de ingresso, respeitando o desconto legal ao qual tenho direito."
Nubank,Fiz um acordo de parcelamento de uma divida com o nubank e ainda não tiraram a restrição do CPF
Banestes,"Prezados, boa tarde. Solicito a avaliação de retirada de juros abusivos referente ao cheque especial e empréstimos efetuados, alguns deles já pagos e outros em aberto.. mas não estou conseguindo arcar e a dívida só aumentando. Não me imponho em pagar os valores devidos que é de minha obrigação, mas pretendo pagar somente o que é justo. Conto com o apoio e entendimento de um cliente endividado que quer honrar as suas dívidas e limpar seu nome perante aos órgãos de proteção ao crédito."
Ativos S.A,essa divida tem no minimo 15 anos e meu nome ainda esta negativado.
Banco XP,XP está bloqueando meu dinheiro para garantir limite utilizado do cartão. Não pedi esse tipo de limite e não fui informado claramente que ele bloquearia meus investimentos como garantia. Para piorar estão bloqueando um valor acima do que tenho em investido. Preciso dos meu recurso para pagar outras contas que tenho.
Gol Linhas Aéreas,"Comprei uma passagem do Rio de Janeiro x Congonhas , ida e volta para a minha mãe, nos dias 18/10 com volta no dia 20/10 as 19:40. Iria voltar junto com a minha mãe neste mesmo dia em outra cia aérea, em um horário próximo. Como resolvi adiar a minha volta, paguei uma taxa de R$100 para adiantar o voo dela. O novo voo estava previsto para sair as 16:45 e chegar no Rio as 17:40. Vale ressaltar que a minha mãe é uma idosa e devido a instabilidade na segurança pública eu evito que ela saia na rua sozinha a noite. O problema é que o voo dela atrasou mais de 2 horas e chegou no Rio de Janeiro praticamente na hora do voo anterior. Não ofereceram nenhum tipo de assistência para ela, de alimentação e até mesmo de informação sobre o atraso do voo."
Caixa Econômica Federal,"todos meus emprestimos e cartões junto a caixa economica federal foram quitados, porém, ainda consta no relatório de atrasos financeiros do banco central."
